"source","category_code","category_path","unmapped_products_count"
kaspi_nonfood,Boy shirts,Одежда > Мальчикам > Рубашки для мальчиков,15610
wolt,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ🥤 / НАПИТКИ,БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ🥤 / НАПИТКИ,14916
kaspi_nonfood,Kettles,Kettles,14832
wolt,ЗАКУСКИ / ЧИПСЫ ФАСОВАННЫЕ,ЗАКУСКИ / ЧИПСЫ ФАСОВАННЫЕ,14765
wolt,"Готовая еда / Готовые к разогреву, Наборы","Готовая еда / Готовые к разогреву, Наборы",14535
wolt,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / ВИСКИ🥃,АЛКОГОЛЬНЫЕ НАПИТКИ🥂 / ВИСКИ🥃,14498
kaspi_nonfood,Girl shirts and blouses,Одежда > Девочкам > Рубашки и блузки для девочек,12627
kaspi_nonfood,Men national costumes,Одежда > Мужчинам > Мужские национальные костюмы,12523
wolt,"Молоко, яйца / Йогурты и десерты","Молоко, яйца / Йогурты и десерты",12496
wolt,Бакалея / Консервы и соленья,Бакалея / Консервы и соленья,12474
wolt,Бакалея / Быстро приготовить,Бакалея / Быстро приготовить,12470
wolt,Заморозка / Мороженое и десерты,Заморозка / Мороженое и десерты,12443
kaspi_nonfood,Drying racks,Drying racks,12358
wolt,"Сладости и снеки / Мармелад, зефир, пастила","Сладости и снеки / Мармелад, зефир, пастила",12341
wolt,Красота и гигиена / Личная гигиена ,Красота и гигиена / Личная гигиена ,12328
wolt,Красота и гигиена / Для волос,Красота и гигиена / Для волос,12319
wolt,Красота и гигиена / Бумага и салфетки,Красота и гигиена / Бумага и салфетки,12231
wolt,Красота и гигиена / Для лица,Красота и гигиена / Для лица,12189
wolt,Красота и гигиена / Для ванны и душа,Красота и гигиена / Для ванны и душа,12141
wolt,Вода и напитки / Холодный чай и кофе,Вода и напитки / Холодный чай и кофе,11997
wolt,Красота и гигиена / Гигиена полости рта,Красота и гигиена / Гигиена полости рта,11982
wolt,Для детей / Гигиена и уход,Для детей / Гигиена и уход,11838
wolt,Стирка и уборка / Средства для стирки,Стирка и уборка / Средства для стирки,11796
